# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType
ENSG00000162736	NCSTN	protein_coding
ENSG00000162738	VANGL2	protein_coding
ENSG00000162739	SLAMF6	protein_coding
ENSG00000162745	OLFML2B	protein_coding
ENSG00000162746	FCRLB	protein_coding
ENSG00000162747	FCGR3B	protein_coding
ENSG00000162753	SLC9A11	protein_coding
ENSG00000162755	KLHDC9	protein_coding
ENSG00000162757	C1orf74	protein_coding
ENSG00000162761	LMX1A	protein_coding
ENSG00000162763	LRRC52	protein_coding
ENSG00000162769	FLVCR1	protein_coding
ENSG00000162771	FAM71A	protein_coding
ENSG00000162772	ATF3	protein_coding
ENSG00000162775	RBM15	protein_coding
ENSG00000162777	DENND2D	protein_coding
ENSG00000162779	AXDND1	protein_coding
ENSG00000162782	TDRD5	protein_coding
ENSG00000162783	IER5	protein_coding
ENSG00000162813	BPNT1	protein_coding
ENSG00000162814	SPATA17	protein_coding
ENSG00000162817	C1orf115	protein_coding
ENSG00000162819	BROX	protein_coding
ENSG00000162825	RP3-377D14.1.1	protein_coding
ENSG00000162836	ACP6	protein_coding
ENSG00000162843	WDR64	protein_coding
ENSG00000162849	KIF26B	protein_coding
ENSG00000162851	TFB2M	protein_coding
ENSG00000162852	CNST	protein_coding
ENSG00000162873	KLHDC8A	protein_coding
ENSG00000162877	PM20D1	protein_coding
ENSG00000162885	B3GALNT2	protein_coding
ENSG00000162888	C1orf147	protein_coding
ENSG00000162889	MAPKAPK2	protein_coding
ENSG00000162891	IL20	protein_coding
ENSG00000162892	IL24	protein_coding
ENSG00000162894	FAIM3	protein_coding
ENSG00000162896	PIGR	protein_coding
ENSG00000162897	FCAMR	protein_coding
ENSG00000162909	CAPN2	protein_coding
ENSG00000162910	MRPL55	protein_coding
ENSG00000162913	C1orf145	protein_coding
ENSG00000162923	WDR26	protein_coding
ENSG00000162931	TRIM17	protein_coding
ENSG00000162946	DISC1	protein_coding
ENSG00000163041	H3F3A	protein_coding
ENSG00000163050	ADCK3	protein_coding
ENSG00000163113	OTUD7B	protein_coding
ENSG00000163125	RPRD2	protein_coding
ENSG00000163131	CTSS	protein_coding
ENSG00000163141	BNIPL	protein_coding
ENSG00000163154	TNFAIP8L2	protein_coding
ENSG00000163155	LYSMD1	protein_coding
ENSG00000163156	SCNM1	protein_coding
ENSG00000163157	TMOD4	protein_coding
ENSG00000163159	VPS72	protein_coding
ENSG00000163191	S100A11	protein_coding
ENSG00000163202	LCE3D	protein_coding
ENSG00000163206	SMCP	protein_coding
ENSG00000163207	IVL	protein_coding
ENSG00000163209	SPRR3	protein_coding
ENSG00000163216	SPRR2D	protein_coding
ENSG00000163218	PGLYRP4	protein_coding
ENSG00000163220	S100A9	protein_coding
ENSG00000163221	S100A12	protein_coding
ENSG00000163239	TDRD10	protein_coding
ENSG00000163263	C1orf189	protein_coding
ENSG00000163344	PMVK	protein_coding
ENSG00000163346	PBXIP1	protein_coding
ENSG00000163348	PYGO2	protein_coding
ENSG00000163349	HIPK1	protein_coding
ENSG00000163352	LENEP	protein_coding
ENSG00000163354	DCST2	protein_coding
ENSG00000163357	DCST1	protein_coding
ENSG00000163362	C1orf106	protein_coding
ENSG00000163374	YY1AP1	protein_coding
ENSG00000163382	APOA1BP	protein_coding
ENSG00000163386	NBPF10	protein_coding
ENSG00000163393	SLC22A15	protein_coding
ENSG00000163395	IGFN1	protein_coding
ENSG00000163399	ATP1A1	protein_coding
ENSG00000163431	LMOD1	protein_coding
ENSG00000163435	ELF3	protein_coding
ENSG00000163444	TMEM183A	protein_coding
ENSG00000163462	TRIM46	protein_coding
ENSG00000163463	KRTCAP2	protein_coding
ENSG00000163467	C1orf182	protein_coding
ENSG00000163468	CCT3	protein_coding
ENSG00000163472	TMEM79	protein_coding
ENSG00000163479	SSR2	protein_coding
ENSG00000163485	ADORA1	protein_coding
ENSG00000163486	SRGAP2	protein_coding
ENSG00000163518	FCRL4	protein_coding
ENSG00000163531	NFASC	protein_coding
ENSG00000163534	FCRL1	protein_coding
ENSG00000163545	NUAK2	protein_coding
ENSG00000163554	SPTA1	protein_coding
ENSG00000163563	MNDA	protein_coding
ENSG00000163564	PYHIN1	protein_coding
ENSG00000163565	IFI16	protein_coding
ENSG00000163568	AIM2	protein_coding
ENSG00000163866	C1orf212	protein_coding
ENSG00000163867	ZMYM6	protein_coding
ENSG00000163873	GRIK3	protein_coding
ENSG00000163874	ZC3H12A	protein_coding
ENSG00000163875	MEAF6	protein_coding
ENSG00000163877	SNIP1	protein_coding
ENSG00000163879	DNALI1	protein_coding
ENSG00000163909	HEYL	protein_coding
ENSG00000164002	DEM1	protein_coding
ENSG00000164007	CLDN19	protein_coding
ENSG00000164008	C1orf50	protein_coding
ENSG00000164010	ERMAP	protein_coding
ENSG00000164011	ZNF691	protein_coding
ENSG00000168118	RAB4A	protein_coding
ENSG00000168148	HIST3H3	protein_coding
ENSG00000168159	RNF187	protein_coding
ENSG00000168243	GNG4	protein_coding
ENSG00000168264	IRF2BP2	protein_coding
ENSG00000168275	C1orf31	protein_coding
ENSG00000168389	MFSD2A	protein_coding
ENSG00000168509	HFE2	protein_coding
ENSG00000168528	SERINC2	protein_coding
ENSG00000168614	NBPF9	protein_coding
ENSG00000168653	NDUFS5	protein_coding
ENSG00000168679	SLC16A4	protein_coding
ENSG00000168710	AHCYL1	protein_coding
ENSG00000168765	GSTM4	protein_coding
ENSG00000169174	PCSK9	protein_coding
ENSG00000169213	RAB3B	protein_coding
ENSG00000169214	OR6F1	protein_coding
ENSG00000169218	RSPO1	protein_coding
ENSG00000169224	C1orf150	protein_coding
ENSG00000169231	THBS3	protein_coding
ENSG00000169241	SLC50A1	protein_coding
ENSG00000169242	EFNA1	protein_coding
ENSG00000169291	SHE	protein_coding
ENSG00000169403	PTAFR	protein_coding
ENSG00000169418	NPR1	protein_coding
ENSG00000169442	CD52	protein_coding
ENSG00000169469	SPRR1B	protein_coding
ENSG00000169474	SPRR1A	protein_coding
ENSG00000169504	CLIC4	protein_coding
ENSG00000169509	CRCT1	protein_coding
ENSG00000169598	DFFB	protein_coding
ENSG00000169641	LUZP1	protein_coding
ENSG00000169717	ACTRT2	protein_coding
ENSG00000169885	CALML6	protein_coding
ENSG00000169905	TOR1AIP2	protein_coding
ENSG00000169914	OTUD3	protein_coding
ENSG00000169962	TAS1R3	protein_coding
ENSG00000169972	PUSL1	protein_coding
ENSG00000169991	IFFO2	protein_coding
ENSG00000170075	GPR37L1	protein_coding
ENSG00000170128	GPR25	protein_coding
ENSG00000170382	LRRN2	protein_coding
ENSG00000170385	SLC30A1	protein_coding
ENSG00000170498	KISS1	protein_coding
ENSG00000170989	S1PR1	protein_coding
ENSG00000171161	ZNF672	protein_coding
ENSG00000171163	ZNF692	protein_coding
ENSG00000171180	OR2M4	protein_coding
ENSG00000171357	C1orf190	protein_coding
ENSG00000171385	KCND3	protein_coding
ENSG00000171488	LRRC8C	protein_coding
ENSG00000171492	LRRC8D	protein_coding
ENSG00000171502	COL24A1	protein_coding
ENSG00000171517	LPAR3	protein_coding
ENSG00000171603	CLSTN1	protein_coding
ENSG00000171608	PIK3CD	protein_coding
ENSG00000171612	SLC25A33	protein_coding
ENSG00000171621	SPSB1	protein_coding
ENSG00000171680	PLEKHG5	protein_coding
ENSG00000171722	C1orf111	protein_coding
ENSG00000171729	TMEM51	protein_coding
ENSG00000171735	CAMTA1	protein_coding
ENSG00000171786	NHLH1	protein_coding
ENSG00000171790	SLFNL1	protein_coding
ENSG00000171793	CTPS	protein_coding
ENSG00000171806	METTL18	protein_coding
ENSG00000171812	COL8A2	protein_coding
ENSG00000171819	ANGPTL7	protein_coding
ENSG00000171824	EXOSC10	protein_coding
ENSG00000171872	KLF17	protein_coding
ENSG00000171943	SRGAP2P1	pseudogene
ENSG00000171960	PPIH	protein_coding
ENSG00000172031	EPHX4	protein_coding
ENSG00000172155	LCE1D	protein_coding
ENSG00000172260	NEGR1	protein_coding
ENSG00000172339	ALG14	protein_coding
ENSG00000172380	GNG12	protein_coding
ENSG00000172410	INSL5	protein_coding
ENSG00000172456	FGGY	protein_coding
ENSG00000172746	RP11-344H11.4.1	pseudogene
ENSG00000173080	RXFP4	protein_coding
ENSG00000173110	HSPA6	protein_coding
ENSG00000173171	MTX1	protein_coding
ENSG00000173207	CKS1B	protein_coding
ENSG00000173212	MAB21L3	protein_coding
ENSG00000173218	VANGL1	protein_coding
ENSG00000173285	OR10K1	protein_coding
ENSG00000173369	C1QB	protein_coding
ENSG00000173372	C1QA	protein_coding
ENSG00000173406	DAB1	protein_coding
ENSG00000173409	ARV1	protein_coding
ENSG00000173436	MINOS1	protein_coding
ENSG00000173614	NMNAT1	protein_coding
ENSG00000173627	APOBEC4	protein_coding
ENSG00000173641	HSPB7	protein_coding
ENSG00000173660	UQCRH	protein_coding
ENSG00000173662	TAS1R1	protein_coding
ENSG00000173673	HES3	protein_coding
ENSG00000173726	TOMM20	protein_coding
ENSG00000173728	C1orf100	protein_coding
ENSG00000173810	PPIAP7	pseudogene
ENSG00000173846	PLK3	protein_coding
ENSG00000173947	C1orf88	protein_coding
ENSG00000174021	GNG5	protein_coding
ENSG00000174059	CD34	protein_coding
ENSG00000174151	CYB561D1	protein_coding
ENSG00000174175	SELP	protein_coding
ENSG00000174307	PHLDA3	protein_coding
ENSG00000174332	GLIS1	protein_coding
ENSG00000174348	PODN	protein_coding
ENSG00000174371	EXO1	protein_coding
ENSG00000174502	SLC26A9	protein_coding
ENSG00000174514	MFSD4	protein_coding
ENSG00000174529	TMEM81	protein_coding
ENSG00000174567	GOLT1A	protein_coding
ENSG00000174574	AKIRIN1	protein_coding
ENSG00000174606	ANGEL2	protein_coding
ENSG00000174827	PDZK1	protein_coding
ENSG00000174842	GLMN	protein_coding
ENSG00000174876	AMY1B	protein_coding
ENSG00000174950	CD164L2	protein_coding
ENSG00000175087	PDIK1L	protein_coding
ENSG00000175130	MARCKSL1	protein_coding
ENSG00000175137	SH3BP5L	protein_coding
ENSG00000175143	OR2T1	protein_coding
ENSG00000175147	C1orf126	processed_transcript
ENSG00000175206	NPPA	protein_coding
ENSG00000175262	C1orf127	protein_coding
ENSG00000175279	APITD1	protein_coding
ENSG00000175658	RP11-14N7.1.1	pseudogene
ENSG00000175707	C1orf172	protein_coding
ENSG00000175756	AURKAIP1	protein_coding
ENSG00000175793	SFN	protein_coding
ENSG00000175984	DENND2C	protein_coding
ENSG00000176022	B3GALT6	protein_coding
ENSG00000176075	LINC00302	lincRNA
ENSG00000176083	ZNF683	protein_coding
ENSG00000176092	AIM1L	protein_coding
ENSG00000176256	HMGB4	protein_coding
ENSG00000176261	ZBTB8OS	protein_coding
ENSG00000176320	RP11-404O13.5.1	lincRNA
ENSG00000176378	PFN1P10	pseudogene
ENSG00000176393	RNPEP	protein_coding
ENSG00000176444	CLK2	protein_coding
ENSG00000176754	LINC00303	lincRNA
ENSG00000176855	KRT18P28	pseudogene
ENSG00000177000	MTHFR	protein_coding
ENSG00000177133	RP1-163G9.1.1	processed_transcript
ENSG00000177144	AL359758.1.1	pseudogene
ENSG00000177151	OR2T35	protein_coding
ENSG00000177173	NAP1L4P1	pseudogene
ENSG00000177174	OR14C36	protein_coding
ENSG00000177181	RIMKLA	protein_coding
ENSG00000177186	OR2M7	protein_coding
ENSG00000177201	OR2T12	protein_coding
ENSG00000177212	OR2T33	protein_coding
ENSG00000177233	OR2M1P	pseudogene
ENSG00000177272	KCNA3	protein_coding
ENSG00000177275	OR2AJ1	protein_coding
ENSG00000177301	KCNA2	protein_coding
ENSG00000177414	UBE2U	protein_coding
ENSG00000177452	RP4-597J3.1.1	pseudogene
ENSG00000177462	OR2T8	protein_coding
ENSG00000177476	OR2G3	protein_coding
ENSG00000177489	OR2G2	protein_coding
ENSG00000177535	OR2B11	protein_coding
ENSG00000177551	NHLH2	protein_coding
ENSG00000177553	RP11-56N19.5.1	antisense
ENSG00000177606	JUN	protein_coding
ENSG00000177614	PGBD5	protein_coding
ENSG00000177628	GBA	protein_coding
ENSG00000177674	AGTRAP	protein_coding
ENSG00000177757	FAM87B	lincRNA
ENSG00000177770	CDKN2AIPNLP1	pseudogene
ENSG00000177788	RP5-1061H20.4.1	processed_transcript
ENSG00000177800	TMEM78	protein_coding
ENSG00000177807	KCNJ10	protein_coding
ENSG00000177868	CCDC23	protein_coding
ENSG00000177888	ZBTB41	protein_coding
ENSG00000177954	RPS27	protein_coding
ENSG00000178028	DMAP1	protein_coding
ENSG00000178096	BOLA1	protein_coding
ENSG00000178104	PDE4DIP	protein_coding
ENSG00000178193	RP4-682C21.5.1	antisense
ENSG00000178395	C1orf65	protein_coding
ENSG00000178585	CTNNBIP1	protein_coding
ENSG00000178596	GAPDHP29	pseudogene
ENSG00000178642	AL513477.1	pseudogene
ENSG00000178715	RP11-169K16.8.1	pseudogene
ENSG00000178796	RIIAD1	protein_coding
ENSG00000178821	TMEM52	protein_coding
ENSG00000178828	RNF186	protein_coding
ENSG00000178922	HYI	protein_coding
ENSG00000178965	C1orf173	protein_coding
ENSG00000179002	TAS1R2	protein_coding
ENSG00000179023	KLHDC7A	protein_coding
ENSG00000179051	RCC2	protein_coding
ENSG00000179085	DPM3	protein_coding
ENSG00000179163	FUCA1	protein_coding
ENSG00000179172	HNRNPCL1	protein_coding
ENSG00000179178	TMEM125	protein_coding
ENSG00000179397	C1orf101	protein_coding
ENSG00000179403	VWA1	protein_coding
ENSG00000179412	RP13-221M14.5.1	pseudogene
ENSG00000179452	RP11-380B22.1.1	lincRNA
ENSG00000179456	ZNF238	protein_coding
ENSG00000179546	HTR1D	protein_coding
ENSG00000179571	NBPF23	pseudogene
ENSG00000179639	FCER1A	protein_coding
ENSG00000179743	RP11-169K16.9.1	processed_transcript
ENSG00000179840	C1orf200	protein_coding
ENSG00000179862	CITED4	protein_coding
ENSG00000179902	C1orf194	protein_coding
ENSG00000179914	ITLN1	protein_coding
ENSG00000179930	ZNF648	protein_coding
ENSG00000180098	TRNAU1AP	protein_coding
ENSG00000180198	RCC1	protein_coding
ENSG00000180287	PLD5	protein_coding
ENSG00000180409	OR10AA1P	pseudogene
ENSG00000180433	OR6K6	protein_coding
ENSG00000180437	OR6K4P	pseudogene
ENSG00000180488	FAM73A	protein_coding
ENSG00000180667	YOD1	protein_coding
ENSG00000180708	OR10K2	protein_coding
ENSG00000180758	GPR157	protein_coding
ENSG00000180867	PDIA3P	pseudogene
ENSG00000180869	C1orf180	protein_coding
ENSG00000180875	GREM2	protein_coding
ENSG00000180999	C1orf105	protein_coding
ENSG00000181036	FCRL6	protein_coding
ENSG00000181039	ANKRD34A	protein_coding
ENSG00000181101	SDCCAG3P2	pseudogene
ENSG00000181201	HIST3H2BA	pseudogene
ENSG00000181218	HIST3H2A	protein_coding
ENSG00000181227	RP4-682C21.2.1	pseudogene
ENSG00000181450	ZNF678	protein_coding
ENSG00000181656	GPR88	protein_coding
ENSG00000181754	AMIGO1	protein_coding
ENSG00000181773	GPR3	protein_coding
ENSG00000181817	LSM10	protein_coding
ENSG00000181873	IBA57	protein_coding
ENSG00000182004	SNRPE	protein_coding
ENSG00000182109	RP11-69E11.4.1	processed_transcript
ENSG00000182118	FAM89A	protein_coding
ENSG00000182134	TDRKH	protein_coding
ENSG00000182183	FAM159A	protein_coding
ENSG00000182217	HIST2H4B	protein_coding
ENSG00000182330	PRAMEF8	protein_coding
ENSG00000182749	PAQR7	protein_coding
ENSG00000182783	OR2T29	protein_coding
ENSG00000182795	C1orf116	protein_coding
ENSG00000182827	ACBD3	protein_coding
ENSG00000182866	LCK	protein_coding
ENSG00000182873	RP11-181G12.2.1	antisense
ENSG00000182898	TCHHL1	protein_coding
ENSG00000182901	RGS7	protein_coding
ENSG00000183114	FAM43B	protein_coding
ENSG00000183130	OR2T11	protein_coding
ENSG00000183155	RABIF	protein_coding
ENSG00000183291	RP4-604K5.1.1	protein_coding
ENSG00000183298	RP11-556K13.1.1	pseudogene
ENSG00000183310	OR2T34	protein_coding
ENSG00000183317	EPHA10	protein_coding
ENSG00000183347	GBP6	protein_coding
ENSG00000183386	FHL3	protein_coding
ENSG00000183431	SF3A3	protein_coding
ENSG00000183508	FAM46C	protein_coding
ENSG00000183520	UTP11L	protein_coding
ENSG00000183558	HIST2H2AA3	protein_coding
ENSG00000183586	HMGN3P1	pseudogene
ENSG00000183598	HIST2H3D	protein_coding
ENSG00000183615	FAM167B	protein_coding
ENSG00000183682	BMP8A	protein_coding
ENSG00000183726	TMEM50A	protein_coding
ENSG00000183780	SLC35F3	protein_coding
ENSG00000183814	LIN9	protein_coding
ENSG00000183831	ANKRD45	protein_coding
ENSG00000183853	KIRREL	protein_coding
ENSG00000183856	IQGAP3	protein_coding
ENSG00000183888	C1orf64	protein_coding
ENSG00000183929	DUSP5P	pseudogene
ENSG00000183941	HIST2H4A	protein_coding
ENSG00000184005	ST6GALNAC3	protein_coding
ENSG00000184007	PTP4A2	protein_coding
ENSG00000184022	OR2T10	protein_coding
ENSG00000184144	CNTN2	protein_coding
ENSG00000184148	SPRR4	protein_coding
ENSG00000184155	OR10J5	protein_coding
ENSG00000184163	FAM132A	protein_coding
ENSG00000184260	HIST2H2AC	protein_coding
ENSG00000184270	HIST2H2AB	protein_coding
ENSG00000184292	TACSTD2	protein_coding
ENSG00000184313	HEATR8	protein_coding
ENSG00000184330	S100A7A	protein_coding
ENSG00000184371	CSF1	protein_coding
ENSG00000184389	A3GALT2P	pseudogene
ENSG00000184454	C1orf130	protein_coding
ENSG00000184588	PDE4B	protein_coding
ENSG00000184599	FAM19A3	protein_coding
ENSG00000184677	ZBTB40	protein_coding
ENSG00000184678	HIST2H2BE	protein_coding
ENSG00000184774	RP11-480I12.4.1	protein_coding
ENSG00000184908	CLCNKB	protein_coding
ENSG00000184909	AL513013.1	protein_coding
ENSG00000185031	RP11-182I10.4.1	pseudogene
ENSG00000185044	BX004987.4.1	processed_transcript
ENSG00000185090	MANEAL	protein_coding
ENSG00000185097	OR4F16	protein_coding
ENSG00000185104	FAF1	protein_coding
ENSG00000185155	MIXL1	protein_coding
ENSG00000185220	PGBD2	protein_coding
ENSG00000185221	GAPDHP24	pseudogene
ENSG00000185278	ZBTB37	protein_coding
ENSG00000185420	SMYD3	protein_coding
ENSG00000185436	IL28RA	protein_coding
ENSG00000185483	ROR1	protein_coding
ENSG00000185495	RP11-504P24.4.1	processed_transcript
ENSG00000185499	MUC1	protein_coding
ENSG00000185519	FAM131C	protein_coding
ENSG00000185523	C1orf227	protein_coding
ENSG00000185630	PBX1	protein_coding
ENSG00000185668	POU3F1	protein_coding
ENSG00000185839	RP4-592A1.2.1	pseudogene
ENSG00000185842	DNAH14	protein_coding
ENSG00000185860	C1orf110	protein_coding
ENSG00000185888	PRSS38	protein_coding
ENSG00000185946	RNPC3	protein_coding
ENSG00000185962	LCE3A	protein_coding
ENSG00000185966	LCE3E	protein_coding
ENSG00000186007	LEMD1	protein_coding
ENSG00000186056	RP5-1166H10.2.1	antisense
ENSG00000186063	AIDA	protein_coding
ENSG00000186086	NBPF6	protein_coding
ENSG00000186092	OR4F5	protein_coding
ENSG00000186094	AGBL4	protein_coding
ENSG00000186118	ATPAF1-AS1	protein_coding
ENSG00000186141	POLR3C	protein_coding
ENSG00000186150	UBL4B	protein_coding
ENSG00000186160	CYP4Z1	protein_coding
ENSG00000186197	EDARADD	protein_coding
ENSG00000186205	MARC1	protein_coding
ENSG00000186207	LCE5A	protein_coding
ENSG00000186226	LCE1E	protein_coding
ENSG00000186275	NBPF12	protein_coding
ENSG00000186283	TOR3A	protein_coding
ENSG00000186301	RP5-1182A14.3.1	pseudogene
ENSG00000186306	OR10T2	protein_coding
ENSG00000186364	NUDT17	protein_coding
ENSG00000186377	CYP4X1	protein_coding
ENSG00000186400	OR10X1	protein_coding
ENSG00000186409	CCDC30	protein_coding
ENSG00000186440	OR6P1	protein_coding
ENSG00000186501	TMEM222	protein_coding
ENSG00000186510	CLCNKA	protein_coding
ENSG00000186517	ARHGAP30	protein_coding
ENSG00000186543	RP11-293F5.4.1	pseudogene
ENSG00000186564	FOXD2	protein_coding
ENSG00000186603	HPDL	protein_coding
ENSG00000186715	MST1P9	protein_coding
ENSG00000186790	FOXE3	protein_coding
ENSG00000186827	TNFRSF4	protein_coding
ENSG00000186844	LCE1A	protein_coding
ENSG00000186891	TNFRSF18	protein_coding
ENSG00000186973	FAM183A	protein_coding
ENSG00000187010	RHD	protein_coding
ENSG00000187017	ESPN	protein_coding
ENSG00000187048	CYP4A11	protein_coding
ENSG00000187080	OR2AK2	protein_coding
ENSG00000187140	FOXD3	protein_coding
ENSG00000187144	SPATA21	protein_coding
ENSG00000187145	MRPS21	protein_coding
ENSG00000187147	RNF220	protein_coding
ENSG00000187170	LCE4A	protein_coding
ENSG00000187173	LCE2A	protein_coding
ENSG00000187180	LCE2C	protein_coding
ENSG00000187223	LCE2D	protein_coding
ENSG00000187238	LCE3B	protein_coding
ENSG00000187481	HSD3BP1	pseudogene
ENSG00000187513	GJA4	protein_coding
ENSG00000187545	PRAMEF10	protein_coding
ENSG00000187554	TLR5	protein_coding
ENSG00000187583	PLEKHN1	protein_coding
ENSG00000187608	ISG15	protein_coding
ENSG00000187634	SAMD11	protein_coding
ENSG00000187642	C1orf170	protein_coding
ENSG00000187701	OR2T27	protein_coding
ENSG00000187730	GABRD	protein_coding
ENSG00000187733	AMY1C	protein_coding
ENSG00000187800	PEAR1	protein_coding
ENSG00000187801	ZNF643	protein_coding
ENSG00000187815	ZNF642	protein_coding
ENSG00000187862	TTC24	protein_coding
ENSG00000187889	C1orf168	protein_coding
ENSG00000187942	LDLRAD2	protein_coding
ENSG00000187952	HS6ST1P1	pseudogene
ENSG00000187961	KLHL17	protein_coding
ENSG00000187980	PLA2G2C	protein_coding
ENSG00000188004	C1orf204	protein_coding
ENSG00000188015	S100A3	protein_coding
ENSG00000188060	RAB42	protein_coding
ENSG00000188092	GPR89B	protein_coding
ENSG00000188157	AGRN	protein_coding
ENSG00000188206	HNRNPU-AS1	processed_transcript
ENSG00000188257	PLA2G2A	protein_coding
ENSG00000188290	HES4	protein_coding
ENSG00000188295	ZNF669	protein_coding
ENSG00000188340	OR6N2	protein_coding
ENSG00000188396	TCTEX1D4	protein_coding
ENSG00000188404	SELL	protein_coding
ENSG00000188460	ACTBP11	pseudogene
ENSG00000188529	SRSF10	protein_coding
ENSG00000188558	OR2G6	protein_coding
ENSG00000188585	LINC00083	antisense
ENSG00000188610	FAM72B	protein_coding
ENSG00000188641	DPYD	protein_coding
ENSG00000188643	S100A16	protein_coding
ENSG00000188672	RHCE	protein_coding
ENSG00000188739	RBM34	protein_coding
ENSG00000188740	RP11-483I13.4.1	processed_transcript
ENSG00000188761	BCL2L15	protein_coding
ENSG00000188770	OPTC	protein_coding
ENSG00000188782	CATSPER4	protein_coding
ENSG00000188783	PRELP	protein_coding
ENSG00000188784	PLA2G2E	protein_coding
ENSG00000188786	MTF1	protein_coding
ENSG00000188800	TMCO2	protein_coding
ENSG00000188807	TMEM201	protein_coding
ENSG00000188822	CNR2	protein_coding
ENSG00000188859	FAM78B	protein_coding
ENSG00000188910	GJB3	protein_coding
ENSG00000188931	C1orf192	protein_coding
ENSG00000188976	NOC2L	protein_coding
ENSG00000188984	AADACL3	protein_coding
ENSG00000189030	VHLL	pseudogene
ENSG00000189171	S100A13	protein_coding
ENSG00000189181	OR14I1	protein_coding
ENSG00000189195	BTBD8	protein_coding
ENSG00000189266	PNRC2	protein_coding
ENSG00000189280	GJB5	protein_coding
ENSG00000189334	S100A14	protein_coding
ENSG00000189337	KAZN	protein_coding
ENSG00000189339	SLC35E2B	protein_coding
ENSG00000189409	MMP23B	protein_coding
ENSG00000189410	SH2D5	protein_coding
ENSG00000189433	GJB4	protein_coding
ENSG00000194297	U1	snRNA
ENSG00000196071	OR2L13	protein_coding
ENSG00000196154	S100A4	protein_coding
ENSG00000196171	OR6K2	protein_coding
ENSG00000196182	STK40	protein_coding
ENSG00000196184	OR10J1	protein_coding
ENSG00000196187	TMEM63A	protein_coding
ENSG00000196188	CTSE	protein_coding
ENSG00000196189	SEMA4A	protein_coding
ENSG00000196240	OR2T2	protein_coding
ENSG00000196242	OR2C3	protein_coding
ENSG00000196266	OR10J3	protein_coding
ENSG00000196289	BECN1P1	pseudogene
ENSG00000196352	CD55	protein_coding
ENSG00000196369	SRGAP2P2	pseudogene
ENSG00000196407	THEM5	protein_coding
ENSG00000196418	ZNF124	protein_coding
ENSG00000196420	S100A5	protein_coding
ENSG00000196427	NBPF4	protein_coding
ENSG00000196449	YRDC	protein_coding
ENSG00000196482	ESRRG	protein_coding
ENSG00000196505	GDAP2	protein_coding
ENSG00000196517	SLC6A9	protein_coding
ENSG00000196533	C1orf186	protein_coding
ENSG00000196539	OR2T3	protein_coding
ENSG00000196550	FAM72A	protein_coding
ENSG00000196581	AJAP1	protein_coding
ENSG00000196644	GPR89C	protein_coding
ENSG00000196660	SLC30A10	protein_coding
ENSG00000196690	BX284668.1	protein_coding
ENSG00000196734	LCE1B	protein_coding
ENSG00000196754	S100A2	protein_coding
ENSG00000196772	OR14A16	protein_coding
ENSG00000196805	SPRR2B	protein_coding
ENSG00000196878	LAMB3	protein_coding
ENSG00000196890	HIST3H2BB	protein_coding
ENSG00000196936	OR2L8	protein_coding
ENSG00000196944	OR2T4	protein_coding
ENSG00000197015	AL353898.1	pseudogene
ENSG00000197049	AL669831.1	protein_coding
ENSG00000197056	ZMYM1	protein_coding
ENSG00000197067	RP11-132G10.2.1	pseudogene
ENSG00000197084	LCE1C	protein_coding
ENSG00000197106	SLC6A17	protein_coding
ENSG00000197147	LRRC8B	protein_coding
ENSG00000197241	SLC2A7	protein_coding
ENSG00000197245	FAM110D	protein_coding
ENSG00000197273	GUCA2A	protein_coding
ENSG00000197312	DDI2	protein_coding
ENSG00000197323	TRIM33	protein_coding
ENSG00000197364	S100A7L2	protein_coding
ENSG00000197403	OR6N1	protein_coding
ENSG00000197429	IPP	protein_coding
ENSG00000197437	OR13G1	protein_coding
ENSG00000197454	OR2L5	protein_coding
ENSG00000197472	ZNF695	protein_coding
ENSG00000197511	AL355149.1	protein_coding
ENSG00000197520	FAM177B	protein_coding
ENSG00000197530	MIB2	protein_coding
ENSG00000197532	OR6Y1	protein_coding
ENSG00000197568	HHLA3	protein_coding
ENSG00000197587	DMBX1	protein_coding
ENSG00000197591	OR11L1	protein_coding
ENSG00000197617	VN1R5	pseudogene
ENSG00000197622	CDC42SE1	protein_coding
ENSG00000197721	CR1L	protein_coding
ENSG00000197747	S100A10	protein_coding
ENSG00000197769	MAP1LC3C	protein_coding
ENSG00000197780	TAF13	protein_coding
ENSG00000197785	ATAD3A	protein_coding
ENSG00000197844	AL358813.1	pseudogene
ENSG00000197852	FAM212B	protein_coding
ENSG00000197880	MDS2	protein_coding
ENSG00000197915	HRNR	protein_coding
ENSG00000197921	HES5	protein_coding
ENSG00000197956	S100A6	protein_coding
ENSG00000197959	DNM3	protein_coding
ENSG00000197965	MPZL1	protein_coding
ENSG00000197982	C1orf122	protein_coding
ENSG00000197989	SNHG12	processed_transcript
ENSG00000198019	FCGR1B	protein_coding
ENSG00000198049	AVPR1B	protein_coding
ENSG00000198104	OR2T6	protein_coding
ENSG00000198128	OR2L3	protein_coding
ENSG00000198160	MIER1	protein_coding
ENSG00000198161	PPIAL4C	protein_coding
ENSG00000198162	MAN1A2	protein_coding
ENSG00000198198	SZT2	protein_coding
ENSG00000198216	CACNA1E	protein_coding
ENSG00000198358	RP11-544M22.1.1	processed_transcript
ENSG00000198400	NTRK1	protein_coding
ENSG00000198452	OR14L1P	pseudogene
